Identifier	Character	Dialogue	Filename	Line Number
Chapter1_1e1aed76	extend	Maybe this is it for me...	game/Chapter1.rpy	182
Chapter1_d8a42fca		Mum...	game/Chapter1.rpy	187
Chapter1_8de37b60	extend	Dad...\n	game/Chapter1.rpy	188
Chapter1_13754e8a	extend	I'm sorry...	game/Chapter1.rpy	192
Chapter1_ef635018_5		... ... ...	game/Chapter1.rpy	203
Chapter1_d9ab6bb2	sub	..ey... Wa... up...	game/Chapter1.rpy	204
Chapter1_3cbe44a5	sub	Wha.. a... doing.. ere...	game/Chapter1.rpy	205
Chapter1_ab4fda32		Hmm... Who's there?	game/Chapter1.rpy	206
Chapter1_2207ce3c	sub	Wake up...	game/Chapter1.rpy	207
Chapter1_126860ec		Oh I know, I must be on my way to heaven...	game/Chapter1.rpy	208
Chapter1_7df4d062		Someone up there is calling out to me...	game/Chapter1.rpy	209
Chapter1_2ae75ca4	sub	I SAID WAKE UP!!	game/Chapter1.rpy	210
Chapter1_a9cb64bb	msub	Wah!!!	game/Chapter1.rpy	220
Chapter1_752cad1b	sub	Grrr...	game/Chapter1.rpy	226
Chapter1_99a260da	msub	A-a-a talking dragon!!!	game/Chapter1.rpy	228
Chapter1_ee18b529	msub	P-p-please don't eat me, I'm not tasty at all!	game/Chapter1.rpy	229
Chapter1_b30bb420	sub	Hmph! You humans never change!	game/Chapter1.rpy	236
Chapter1_94a9f7c5	sub	Especially for one who's trespassing my territory!	game/Chapter1.rpy	237
Chapter1_73aa9e5d	msub	I'm... I'm sorry... I-I didn't know...	game/Chapter1.rpy	244
Chapter1_fbc898e7	msub	I'll l-leave right away...	game/Chapter1.rpy	245
Chapter1_3fb002d1	sub	Hey!	game/Chapter1.rpy	246
Chapter1_5cb50814	msub	Y-yes?	game/Chapter1.rpy	253
Chapter1_16424a1f	sub	It's that way!	game/Chapter1.rpy	262
Chapter1_689ec12c	msub	O-oh... T-Thank you.	game/Chapter1.rpy	269
Chapter1_1fca8d7f		What... was that just now?	game/Chapter1.rpy	285
Chapter1_1e80aa0b		I'm sure that was a dragon but don't dragons normally have wings...	game/Chapter1.rpy	286
Chapter1_aaaee3c2		It didn't seem like it had any on its back though...	game/Chapter1.rpy	287
Chapter1_9b26d9fd		But that was shocking...	game/Chapter1.rpy	294
Chapter1_b083d214		A dragon in this day and age...	game/Chapter1.rpy	295
Chapter1_52733114		I bet my mind was playing tricks on me...	game/Chapter1.rpy	296
Chapter1_5823b9f6		Yup. There's no other explanation.\n	game/Chapter1.rpy	303
Chapter1_326f128a	extend	I'm so exhausted that I've started hallucinating.	game/Chapter1.rpy	304
Chapter1_ef635018_6		... ... ...	game/Chapter1.rpy	305
Chapter1_a1e60068		... which way do I go now?	game/Chapter1.rpy	306
Chapter1_0eb876d8		I'm completely lost again...	game/Chapter1.rpy	307
Chapter1_8747a30a	msub	Maybe it's that way?	game/Chapter1.rpy	314
gCont_3fb002d1	sub	Hey!	game/Chapter1.rpy	320
gCont_0c623f91		!	game/Chapter1.rpy	325
gCont_85958fde		Oh crap!\n	game/Chapter1.rpy	330
gCont_866628d9	extend	What does it want now?	game/Chapter1.rpy	331
gCont_9fc07682	msub	U-umm, y-yes?	game/Chapter1.rpy	332
gCont_63fc8841		So it wasn't an illusion, it really is a dragon!	game/Chapter1.rpy	333
gCont_45833e0e	sub	Tch...	game/Chapter1.rpy	340
gCont_adc28d36	sub	Is your pathetic human brain made out of beetle dung or something?	game/Chapter1.rpy	341
gCont_72c8074f	sub	I told you it's that way!	game/Chapter1.rpy	342
gCont_71063098	msub	O-oh, sorry...	game/Chapter1.rpy	349
gCont_042d9989	msub	It's just that everywhere looks the same to me...	game/Chapter1.rpy	350
gCont_b52540a1	sub	Sigh...	game/Chapter1.rpy	356
gCont_8a0d6d43	sub	For a mere human you're not very capable.	game/Chapter1.rpy	357
gCont_e3e054c8	sub	... ... ...	game/Chapter1.rpy	358
gCont_278091e4	sub	Tsk...	game/Chapter1.rpy	359
gCont_408e16a9	sub	Come!	game/Chapter1.rpy	366
gCont_67aaa788		What?	game/Chapter1.rpy	373
gCont_36a6c1fb		It wants me to follow?	game/Chapter1.rpy	374
gCont_1a93554a		This is bad... it's going to eat me alive!	game/Chapter1.rpy	375
gCont_61b1a05d	sub	Hurry up human or I'll leave you behind!	game/Chapter1.rpy	382
gCont_dfc68591		I don't have a choice... If I run now things could turn bad....	game/Chapter1.rpy	384
gCont_76b30e2b		O-Okay...	game/Chapter1.rpy	391
gCont_76629166		What should I do... I knew going into the forest was a bad idea...	game/Chapter1.rpy	392
gCont_5baa9b90		I've got to find a way to get out of this...	game/Chapter1.rpy	393
gCont_f7ed85a7		As we walked further into the forest I couldn't help but take my eyes off from what I'm seeing in front of me.	game/Chapter1.rpy	402
gCont_bb35b056		In fact I'm completely overwhelmed by the beast's presence that I'm starting to shiver in fear. It could turn around and eat me alive anytime it wants.	game/Chapter1.rpy	403
gCont_00d8c677		Honestly I don't know what to expect but even so I can't let my guard down. Not even for a second.	game/Chapter1.rpy	404
gCont_3e9bc173	sub	Hey human!	game/Chapter1.rpy	409
gCont_7324d4ec	msub	Y-Yes?	game/Chapter1.rpy	414
gCont_8ef6116e	sub	Your name.	game/Chapter1.rpy	416
gCont_e2304909		It wants to know my name?\n	game/Chapter1.rpy	418
gCont_9422ddbb	extend	Why does it want to know?\n	game/Chapter1.rpy	419
gCont_97bfbbba	extend	Don't tell me it's planning to put a curse on me?	game/Chapter1.rpy	420
gCont_afa159cf	sub	Well?	game/Chapter1.rpy	422
		First Name:	game/Chapter1.rpy	431
		Kyle	game/Chapter1.rpy	431
		Last Name:	game/Chapter1.rpy	440
		Romford	game/Chapter1.rpy	440
gCont_7ac82a38	msub	It's [povname] [povlast]...	game/Chapter1.rpy	454
gCont_e3e054c8_1	sub	... ... ...	game/Chapter1.rpy	461
gCont_17269a94		Did I say something wrong?	game/Chapter1.rpy	468
gCont_65ac8607	sub	Goro...	game/Chapter1.rpy	475
gCont_a89657d9		What was that?\n	game/Chapter1.rpy	477
gCont_1a9cdfe6	extend	I didn't catch that at all...	game/Chapter1.rpy	478
gCont_5bd39ec9	mc	Um...\n	game/Chapter1.rpy	485
gCont_e76d3c53	extend	I'm sorry...\n	game/Chapter1.rpy	486
gCont_9904c043	extend	What was-	game/Chapter1.rpy	487
gCont_a76e28a1	sub	My name!	game/Chapter1.rpy	493
gCont_90561d2f	sub	It's Goro!	game/Chapter1.rpy	494
gCont_77afd32e	mc	O-okay...	game/Chapter1.rpy	499
gCont_7a0147ee	g	Hmph...\n	game/Chapter1.rpy	506
gCont_fae913f0	extend	You do your best to remember the owner of this island, human!	game/Chapter1.rpy	507
gCont_90c4ecec	mc	I-I will...	game/Chapter1.rpy	509
gCont_0a0b46de		As I treaded carefully past a tree trunk branching out of the ground.\n	game/Chapter1.rpy	521
gCont_92575da2	extend	I noticed how Goro seems to avoid these ever so casually.	game/Chapter1.rpy	522
gCont_c08abb73		I tried to keep up, following, yet keeping my distance.\n	game/Chapter1.rpy	523
gCont_b2b2cf96	extend	My eye's adverted to its back from time to time.	game/Chapter1.rpy	524
gCont_37901296		I couldn't help but notice its large tail swinging from side to side as it walks.	game/Chapter1.rpy	525
gCont_04db55bc		Still, I kept my guard up, being ever so cautious around this creature.	game/Chapter1.rpy	526
gCont_21462866		No one in this whole world would ever believe such a beast exists.\n	game/Chapter1.rpy	527
gCont_c4d8b41e	extend	And judging by its looks I'm pretty sure it's a male.\n	game/Chapter1.rpy	528
gCont_6a370eec		There were many questions that I wanted to ask, the general stuff.	game/Chapter1.rpy	529
gCont_b5df3b79		What's your favourite food, colour, weather and have you ever been anywhere else besides here?	game/Chapter1.rpy	530
gCont_40512a33		It would be interesting and fun to find out more about him.\n	game/Chapter1.rpy	531
gCont_89318921	extend	But...\n	game/Chapter1.rpy	532
gCont_b1475432	extend	Something just tells me, it's best to keep my mouth shut.	game/Chapter1.rpy	533
gCont_be5a409d	mc	I wonder why he's all alone on this island?	game/Chapter1.rpy	537
gCont_02970317	g	For a pathetic human to ask such a dumb question.	game/Chapter1.rpy	542
gCont_dfcea08f	g	I don't know whether you're just brave or stupid.	game/Chapter1.rpy	543
gCont_b19e863c		H-he heard me!	game/Chapter1.rpy	550
gCont_79056f2a	mc	I-I didn't mean to... I'm sorry I was just talking to myself...	game/Chapter1.rpy	551
gCont_8ed989de	g	Hmph...	game/Chapter1.rpy	558
gCont_2838e6bd	extend	whatever...	game/Chapter1.rpy	559
gCont_e423ead0	g	Just hurry up and leave this island once I take you back to the beach!	game/Chapter1.rpy	560
gCont_b32529ee	mc	Oh... Um...\n	game/Chapter1.rpy	567
gCont_e438ecb1	extend	The thing is...\n	game/Chapter1.rpy	568
gCont_ef5be760	extend	I drifted here from an incident that I had on a boat...	game/Chapter1.rpy	569
gCont_6062d049	mc	So I can't really leave the island...	game/Chapter1.rpy	576
gCont_9213efe2		Although I would love to get out of here more than anything at this moment.	game/Chapter1.rpy	577
gCont_0d0f3e6d	g	That's none of my concern!	game/Chapter1.rpy	584
gCont_959a0108		His words were harsh like a sharp knife chipping away at me.	game/Chapter1.rpy	586
gCont_b1d80cb1		I knew for sure that there won't be anyone or anything on this island that can help me.	game/Chapter1.rpy	587
gCont_33ec5f5a		Not knowing the first thing about survival, I was guaranteed my death on this island sooner or later.	game/Chapter1.rpy	588
gCont_a2d8040e	mc	But...\n	game/Chapter1.rpy	595
gCont_99a9b889	extend	I won't be able to leave...\n	game/Chapter1.rpy	596
gCont_e5ad713e	extend	I don't know where I am... 	game/Chapter1.rpy	597
gCont_e622ee21	mc	Or what to do...\n	game/Chapter1.rpy	598
gCont_56d21b08	extend	... ... ...\n	game/Chapter1.rpy	599
gCont_17f9941f	extend	I'll definitely die out here without your help...	game/Chapter1.rpy	600
gCont_1a733074	g	Tsk...	game/Chapter1.rpy	602
gCont_64270ab9	g	Useless human.	game/Chapter1.rpy	609
gCont_84e49a78	g	It's none my concern if you die here too!	game/Chapter1.rpy	610
gCont_b8d2c11c		Those words came down like an axe. Tearing at me causing a certain memory to resurface.	game/Chapter1.rpy	612
gCont_75a59373	mc	P-Please...\n	game/Chapter1.rpy	619
gCont_b3ec617a	extend	Don't take me back there...\n	game/Chapter1.rpy	620
gCont_b61014e7	extend	I can't die here! People out there might be searching for me!	game/Chapter1.rpy	621
gCont_3851f5f2		I can't die.\n	game/Chapter1.rpy	623
gCont_a202aed5	extend	Not here...\n	game/Chapter1.rpy	624
gCont_ad90a29c	extend	Not yet...	game/Chapter1.rpy	625
gCont_031d2eff	mc	Please... I'll do anything!	game/Chapter1.rpy	632
gCont_5a261249	mc	... So please...	game/Chapter1.rpy	633
gCont_cfc8bf53	mc	... ... ...	game/Chapter1.rpy	634
gCont_b338d3da	g	... Grrr...	game/Chapter1.rpy	641
gCont_64d85390	g	Fine!	game/Chapter1.rpy	642
gCont_a77817d2	g	Do what you want human!	game/Chapter1.rpy	643
gCont_eef964e0	g	Your death here would cause me more problems!	game/Chapter1.rpy	644
gCont_1a33932a		Even though he says it like that I couldn't help but feel relief.	game/Chapter1.rpy	646
gCont_38b66d3c		Relief of not having to be left alone. Relief for a chance of surviving.	game/Chapter1.rpy	647
gCont_a1072dfe		But even so it doesn't make me any happier.	game/Chapter1.rpy	648
gCont_3d64dc6d	mc	T-Thank you!	game/Chapter1.rpy	655
gCont_8ed989de_1	g	Hmph...	game/Chapter1.rpy	662
gCont_5fca92d2		I don't really know much about dragons but...\n	game/Chapter1.rpy	664
gCont_b63a25fa	extend	Do they all hate humans this much?	game/Chapter1.rpy	665
gCont_ece720ce		My legs are going to fall off...	game/Chapter1.rpy	676
gCont_9b1ed814		Just how much longer are we going to walk?	game/Chapter1.rpy	677
gCont_55b45af8		I want to stop and rest already...	game/Chapter1.rpy	678
gCont_8221d49a	g	... ... ...\n	game/Chapter1.rpy	683
gCont_99111edb	extend	You're slowing down!\n	game/Chapter1.rpy	684
gCont_932c5a75	extend	Keep walking human!	game/Chapter1.rpy	685
gCont_3f114559		Keep walking!?	game/Chapter1.rpy	692
gCont_e0c5938f		We must've been walking for at least an hour or two on these uneven paths!	game/Chapter1.rpy	693
gCont_3fb8b5bd		I can barely stand let alone walk.	game/Chapter1.rpy	694
gCont_bc6466c0		On top of that my throat is really dry and the word hungry doesn't even come close to how I feel.	game/Chapter1.rpy	695
gCont_43fefc80	mc	Oh berries!\n	game/Chapter1.rpy	702
gCont_97f88dfc	extend	They look really tasty, these white ones especially!	game/Chapter1.rpy	703
gCont_06c08e01	g	Hmph!\n	game/Chapter1.rpy	706
gCont_0eba4077	extend	You must be a real fool to eat those, human!	game/Chapter1.rpy	707
gCont_7766ad86		Well, I can't help it if I'm hungry...	game/Chapter1.rpy	714
gCont_ff13b6fb		You've been dragging me around in this forest for hours...	game/Chapter1.rpy	715
gCont_3c910615		I'm really tired, thirsty and hungry!	game/Chapter1.rpy	716
gCont_beecf2d5	mc	Just because you don't want to eat these doesn't mean I can't.	game/Chapter1.rpy	718
gCont_8221d49a_1	g	... ... ...\n	game/Chapter1.rpy	725
gCont_b0be4c99	extend	If you want to eat and poison yourself be my guest.	game/Chapter1.rpy	726
gCont_673a4c8b	mc	P-Poison!?	game/Chapter1.rpy	733
gCont_ff437c1c	g	Also, feel free to eat those mushrooms while you're at it. You'll be dead in no time.	game/Chapter1.rpy	740
gCont_f7e156a5		... ... ...\n	game/Chapter1.rpy	747
gCont_4b5926ff	extend	On second thought. I think I can deal with not having food for a little while longer...	game/Chapter1.rpy	748
gCont_e0db77e5	g	... ... ...	game/Chapter1.rpy	750
gCont_14e900ea		Stop!	game/Chapter1.rpy	768
gCont_7a86ee40		We're here.	game/Chapter1.rpy	769
gCont_4e23d982	mc	*huff* *pant*	game/Chapter1.rpy	774
gCont_4ac06b8d		Finally, my legs gave in. I fell to the floor with my backside colliding onto the soft grass.	game/Chapter1.rpy	776
gCont_b82a56d5		We're here at last!\n	game/Chapter1.rpy	777
gCont_ad9e9cb3	extend	I think I'm about to pass out.	game/Chapter1.rpy	778
gCont_85316314	g	Tch...	game/Chapter1.rpy	785
gCont_dc2934eb	g	Wait here!	game/Chapter1.rpy	786
gCont_c7a1949a		I mustered the remaining energy I had left and replied before he left.	game/Chapter1.rpy	793
gCont_77afd32e_1	mc	O-okay...	game/Chapter1.rpy	794
gCont_b49975f0		At this moment I don't care what he does, he could eat me for all I care.	game/Chapter1.rpy	799
gCont_fb3cb814		I'm just so tired that I don't even want to move or think.	game/Chapter1.rpy	800
gCont_953ba315		Hmm?	game/Chapter1.rpy	807
gCont_5278bc44		Now that I take a closer look. This place is really different from the rest of the forest...	game/Chapter1.rpy	808
gCont_1b16ddaa		It's so relaxing here...\n	game/Chapter1.rpy	815
gCont_eb7e8757	extend	... ... ...	game/Chapter1.rpy	816
gCont_883e5ea2	mc	Ahhh....	game/Chapter1.rpy	817
gCont_b2ddb94b		The occasional breeze passing by and the warm sun seeping through the tree leaves...\n	game/Chapter1.rpy	818
gCont_1a3d6399	extend	Feels like I'm being wrapped up in a blanket.	game/Chapter1.rpy	819
gCont_4470b653		I feel so calm and at ease...\n	game/Chapter1.rpy	820
gCont_95a8994d	extend	If only I could close my eyes for eternity.	game/Chapter1.rpy	821
gCont_b950f585	mc	zzz...\n	game/Chapter1.rpy	829
gCont_35c0c614	extend	zzz...	game/Chapter1.rpy	830
gCont_60dfa3c4	g	Hey!	game/Chapter1.rpy	835
gCont_ddcbaf79	g	Human! Get up!	game/Chapter1.rpy	836
gCont_fed03ca2	mc	Ah!	game/Chapter1.rpy	844
gCont_ec942f82		I must of drifted off for a moment there.	game/Chapter1.rpy	851
gCont_0813263c	mc	S-Sorry... I just...	game/Chapter1.rpy	858
gCont_8ed989de_2	g	Hmph...	game/Chapter1.rpy	860
gCont_3920e508	g	Here!	game/Chapter1.rpy	867
gCont_6c4b92e2		I watched as he held out his hand while holding a large fruit.	game/Chapter1.rpy	877
gCont_19afba83	g	Be glad that I'm giving this to you human!	game/Chapter1.rpy	884
gCont_1e6d405d		A watermelon?	game/Chapter1.rpy	885
gCont_ee7b5bbc		I held out my hands to receive the large fruit.	game/Chapter1.rpy	892
gCont_89c8dd45		It was rather heavy for me to hold onto, so I placed it beside me.	game/Chapter1.rpy	897
gCont_9649ba60	mc	Oh, err... thank you...\n	game/Chapter1.rpy	904
gCont_eb7e8757_1	extend	... ... ...	game/Chapter1.rpy	905
gCont_08a79ca8	g	What?	game/Chapter1.rpy	915
gCont_b4184066	g	Not good enough for you human!?	game/Chapter1.rpy	916
gCont_84a3b59b	mc	N-No that's not it!	game/Chapter1.rpy	923
gCont_46160790	mc	... It's just that...\n	game/Chapter1.rpy	930
gCont_c895106a	mc	I can't eat it like this...	game/Chapter1.rpy	931
gCont_1a733074_1	g	Tsk...	game/Chapter1.rpy	938
gCont_7fe3ea72	g	Give it here!	game/Chapter1.rpy	945
gCont_bf3953cb		I flinched as he reached out and swiped up the watermelon.	game/Chapter1.rpy	952
gCont_330bf769		What's he going to do with it?	game/Chapter1.rpy	959
gCont_8b0e785f		You human beings are completely useless!	game/Chapter1.rpy	966
gCont_ef635018		... ... ...	game/Chapter1.rpy	973
gCont_54a1f156		Well sorry for being completely useless.	game/Chapter1.rpy	974
gCont_55d88b5a		Unlike you, it's not like I have claws to open this or anything.	game/Chapter1.rpy	975
gCont_e0bff6a5		As I sat there staring at the tall grass beside my feet. I couldn't help but wallow in despair.	game/Chapter1.rpy	976
gCont_df4903cb		A loud crack sounded from the watermelon.	game/Chapter1.rpy	980
gCont_59beae95		I watched in awe as he split the fruit in half with his big lizard like hands.	game/Chapter1.rpy	990
gCont_3920e508_1	g	Here!	game/Chapter1.rpy	997
gCont_cfc8bf53_1	mc	... ... ...	game/Chapter1.rpy	998
gCont_097df08d		The once perfectly round fruit has now been forcefully ripped into smaller pieces.	game/Chapter1.rpy	999
gCont_988afc8b		I better be careful not to say anything to upset him...\n	game/Chapter1.rpy	1006
gCont_5f5c7b63	extend	Otherwise it'll be my head he'll be ripping off next.	game/Chapter1.rpy	1007
gCont_38278b81		As that thought crossed my mind. He began piling the pieces of the melon in front of me.	game/Chapter1.rpy	1008
gCont_e0e5b98d		Without hesitation I began tucking into the fruit.	game/Chapter1.rpy	1009
gCont_0554f26e		Wow...\n	game/Chapter1.rpy	1016
gCont_a1adea74	extend	This is really good, it's so cold and full of juice!	game/Chapter1.rpy	1017
gCont_7a1072b8	mc	... So refreshing...	game/Chapter1.rpy	1024
gCont_1e0b0bae	g	Hmph!	game/Chapter1.rpy	1031
gCont_30d8da65	g	Stay here and don't move human!	game/Chapter1.rpy	1032
gCont_332b4873	mc	Y-Yes...	game/Chapter1.rpy	1033
gCont_16277796		I wonder where he's going...?	game/Chapter1.rpy	1043
gCont_35d1b9d3		He's not planning to eat me, is he!?	game/Chapter1.rpy	1044
gCont_2e79f296		Maybe I should run while I can!	game/Chapter1.rpy	1045
gCont_228a936d		But if I did... where should I run to?	game/Chapter1.rpy	1046
gCont_cfc8bf53_2	mc	... ... ...	game/Chapter1.rpy	1047
gCont_a358b8a0		I guess, if he did plan on eating me he could've done that a long time ago.	game/Chapter1.rpy	1048
gCont_fed03ca2_1	mc	Ah!	game/Chapter1.rpy	1049
gCont_125dd098		Now that I think about it...	game/Chapter1.rpy	1050
gCont_4c72b77d		Is it considered normal for a Dragon to give someone food?	game/Chapter1.rpy	1051
gCont_a03dcfe5		From what I've seen and read in novels they eat humans.\n	game/Chapter1.rpy	1052
gCont_3d5334a6	extend	I think...	game/Chapter1.rpy	1053
gCont_5a919a56		If that was the case then I could be wrong about him. Maybe he's not as bad as I thought.	game/Chapter1.rpy	1060
gCont_dd276253	mc	hmm...	game/Chapter1.rpy	1070
gCont_a494d7e5		I wonder if he's been living here for a long time?	game/Chapter1.rpy	1071
gCont_4b44a67c		Whatever, that's not my priority to worry about...	game/Chapter1.rpy	1072
gCont_609b832e		Right now, I should try and figure out a way to get off this island.	game/Chapter1.rpy	1073
gCont_81948bc3		... But for now...	game/Chapter1.rpy	1074
gCont_20ccfa49		I'll try and get some rest while I can...	game/Chapter1.rpy	1075
gCont_ef635018_1		... ... ...	game/Chapter1.rpy	1087
gCont_9c4490ad	mc	Uuhhgn...	game/Chapter1.rpy	1088
gCont_594a5556		The night enveloped the forest leaving the woods feeling dark and eerie.	game/Chapter1.rpy	1090
gCont_8e938aee		As I opened my eyes I noticed a large figure had sat beside a small camp fire.	game/Chapter1.rpy	1091
gCont_02b12018		Flames flickered and crackled as the large figure threw in more wood to fuel the flames.	game/Chapter1.rpy	1092
gCont_906fc9a4	g	So... finally awake human?	game/Chapter1.rpy	1097
gCont_cfc8bf53_3	mc	... ... ...	game/Chapter1.rpy	1102
gCont_f8dd7d04		Something smells really good.	game/Chapter1.rpy	1103
gCont_db3af8e6		Is that fish he's cooking over by the fire?	game/Chapter1.rpy	1104
gCont_52a9a6f7		That reminds me, I completely forgot to thank him.	game/Chapter1.rpy	1105
gCont_7b542f57	mc	I umm...\n	game/Chapter1.rpy	1112
gCont_a1d781a2	extend	Thank you...	game/Chapter1.rpy	1113
gCont_08a79ca8_1	g	What?	game/Chapter1.rpy	1120
gCont_2a16f06f	mc	The watermelon earlier. It was really good...	game/Chapter1.rpy	1122
gCont_0aca82f3	mc	so...	game/Chapter1.rpy	1123
gCont_bb0eeaf4	mc	Thank you.	game/Chapter1.rpy	1124
gCont_e0db77e5_1	g	... ... ...	game/Chapter1.rpy	1131
gCont_6a5fc554	g	It gets cold at night.	game/Chapter1.rpy	1132
gCont_05500ff6	mc	Huh?	game/Chapter1.rpy	1139
gCont_44f4e771	g	Unless you prefer the cold human.\n	game/Chapter1.rpy	1146
gCont_5f3f0f49	extend	You can stay where you are!	game/Chapter1.rpy	1147
gCont_06102d20		Is that his way of trying to be nice?	game/Chapter1.rpy	1149
gCont_fc899120		Still, beats sitting here and away from the fire.\n	game/Chapter1.rpy	1150
gCont_79418240	extend	Besides, it's kind of creepy here at night, I don't think anyone wants to be alone in the dark.	game/Chapter1.rpy	1151
gCont_c0628d87	mc	W-Well if you don't mind then...\n	game/Chapter1.rpy	1158
gCont_bfee608c	extend	I'll sit beside the fire...	game/Chapter1.rpy	1159
gCont_504cf28b		I got up from and soft patch of grass I was lying on and started walking towards the camp fire.	game/Chapter1.rpy	1164
gCont_00e3c70d		I sat myself down on the opposite side of where he is.	game/Chapter1.rpy	1165
